Sugar GRN,weight_grn_i1,pre_group,post_group,I1,I2,weight_i1_i2,weight_i2_i3,I3,IPC,weight_i3_ipc,path_length
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940630311528,14,7,720575940631309866,720575940611254681,8,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940632436307,62,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940620628957,28,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940611254681,18,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940630311528,14,6,720575940633304601,720575940614623455,9,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940627492866,13,45,720575940615792523,720575940632436307,36,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940627492866,13,45,720575940615792523,720575940611254681,13,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940627492866,13,5,720575940642715040,720575940632436307,8,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940607777628,9,10,720575940613845516,720575940614623455,8,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940607777628,9,10,720575940613845516,720575940620628957,7,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940632436307,62,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940620628957,28,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940611254681,18,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940607777628,9,9,720575940633304601,720575940614623455,9,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940629317450,8,7,720575940619025780,720575940628199802,7,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940629317450,8,6,720575940630311528,720575940620628957,5,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940607472988,6,9,720575940624454221,720575940620628957,5,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940607472988,6,9,720575940624454221,720575940611254681,5,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940621138977,6,6,720575940613845516,720575940614623455,8,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940621138977,6,6,720575940613845516,720575940620628957,7,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940632636959,6,6,720575940631309866,720575940611254681,8,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940621736669,5,5,720575940626021052,720575940628199802,9,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940621736669,5,5,720575940626021052,720575940618694827,5,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940632436307,62,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940620628957,28,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940611254681,18,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617155558,5,11,720575940633304601,720575940614623455,9,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940643539566,53,4
720575940624963786,30,Sugar GRNs,,720575940625102692,720575940617155558,5,9,720575940631008824,720575940628199802,34,4
